Location,size,Area,Price,area_per_bhk,price_per_area
Goregaon West,3,2030,36500000,676.6666666666666,17980.295566502464
Goregaon West,2,775,14500000,387.5,18709.677419354837
Goregaon West,1,640,9000000,640.0,14062.5
Goregaon West,3,1656,27900000,552.0,16847.82608695652
Goregaon West,4,3888,81600000,972.0,20987.654320987655
Goregaon West,4,3585,60100000,896.25,16764.295676429567
Goregaon West,3,1500,21500000,500.0,14333.333333333334
Goregaon West,3,1500,21500000,500.0,14333.333333333334
Goregaon West,3,1500,21500000,500.0,14333.333333333334
Goregaon West,3,1650,25500000,550.0,15454.545454545454
Goregaon West,1,546,10000000,546.0,18315.018315018315
Goregaon West,3,1505,25700000,501.6666666666667,17076.41196013289
Goregaon West,3,1487,18500000,495.6666666666667,12441.156691324815
Goregaon West,2,1065,17000000,532.5,15962.441314553991
Goregaon West,3,1485,19500000,495.0,13131.31313131313
Goregaon West,3,1485,19500000,495.0,13131.31313131313
Goregaon West,1,700,11700000,700.0,16714.285714285714
Goregaon West,3,1112,23900000,370.6666666666667,21492.805755395682
Goregaon West,4,1710,28000000,427.5,16374.269005847953
Goregaon West,1,600,9500000,600.0,15833.333333333334
Goregaon West,3,1600,20000000,533.3333333333334,12500.0
Goregaon West,3,1088,20700000,362.6666666666667,19025.735294117647
Goregaon West,3,1088,20700000,362.6666666666667,19025.735294117647
Goregaon West,3,1399,29500000,466.3333333333333,21086.49035025018
Goregaon West,3,1500,18000000,500.0,12000.0
Goregaon West,2,1100,18500000,550.0,16818.18181818182
Goregaon West,2,1100,19100000,550.0,17363.636363636364
Goregaon West,2,1100,20000000,550.0,18181.81818181818
Goregaon West,1,1100,13500000,1100.0,12272.727272727272
Goregaon West,1,1100,19500000,1100.0,17727.272727272728
Goregaon West,1,830,12500000,830.0,15060.240963855422
Jogeshwari West,2,750,16500000,375.0,22000.0
Jogeshwari West,2,750,16500000,375.0,22000.0
Jogeshwari West,1,750,10000000,750.0,13333.333333333334
Jogeshwari West,1,750,8500000,750.0,11333.333333333334
Jogeshwari West,2,750,16000000,375.0,21333.333333333332
Jogeshwari West,1,585,8500000,585.0,14529.91452991453
Jogeshwari West,1,750,10500000,750.0,14000.0
Jogeshwari West,1,750,11000000,750.0,14666.666666666666
Jogeshwari West,1,650,2350000,650.0,3615.3846153846152
Jogeshwari West,2,950,32500000,475.0,34210.52631578947
Jogeshwari West,2,1050,21400000,525.0,20380.95238095238
Jogeshwari West,1,500,19500000,500.0,39000.0
Jogeshwari West,3,1350,24500000,450.0,18148.14814814815
Jogeshwari West,3,1350,24500000,450.0,18148.14814814815
Jogeshwari West,2,750,15500000,375.0,20666.666666666668
Jogeshwari West,2,950,18500000,475.0,19473.684210526317
Jogeshwari West,1,750,16000000,750.0,21333.333333333332
Jogeshwari West,1,535,14000000,535.0,26168.22429906542
Jogeshwari West,4,2200,14000000,550.0,6363.636363636364
Jogeshwari West,4,2200,12600000,550.0,5727.272727272727
Jogeshwari West,1,630,16500000,630.0,26190.47619047619
Jogeshwari West,1,750,14000000,750.0,18666.666666666668
Jogeshwari West,1,750,14600000,750.0,19466.666666666668
Juhu,2,756,11000000,378.0,14550.26455026455
Juhu,3,1435,60100000,478.3333333333333,41881.533101045294
Juhu,3,1435,60100000,478.3333333333333,41881.533101045294
Juhu,3,1634,27000000,544.6666666666666,16523.867809057527
Juhu,5,3049,100000000,609.8,32797.63857002296
Juhu,3,1800,55000000,600.0,30555.555555555555
Juhu,3,1250,16000000,416.6666666666667,12800.0
Juhu,3,1800,25000000,600.0,13888.888888888889
Juhu,3,1800,16299999,600.0,9055.555
Juhu,2,1080,4000000,540.0,3703.703703703704
Juhu,2,1080,14000000,540.0,12962.962962962964
Juhu,2,1020,13000000,510.0,12745.098039215687
Juhu,3,1104,14300000,368.0,12952.898550724638
Juhu,3,1500,55000000,500.0,36666.666666666664
Juhu,3,1500,16500000,500.0,11000.0
Juhu,2,790,4351000,395.0,5507.594936708861
Juhu,2,960,4200000,480.0,4375.0
Juhu,1,600,12000000,600.0,20000.0
